epoch,loss,binary_accuracy,auc,precision,recall,val_loss,val_binary_accuracy,val_auc,val_precision,val_recall,lr
1,0.23073621094226837,0.9065943360328674,0.9152424335479736,0.8359175324440002,0.8180984854698181,0.19294504821300507,0.9217290282249451,0.9475498199462891,0.8660511374473572,0.84345942735672,1.9999999494757503e-05
2,0.18385732173919678,0.9279743432998657,0.9464605450630188,0.8752698302268982,0.8582065105438232,0.18813683092594147,0.9250220656394958,0.9473991394042969,0.8709501028060913,0.8512036800384521,1.9999999494757503e-05
3,0.1617380529642105,0.9371700286865234,0.9586549401283264,0.8909206986427307,0.8769977688789368,0.19924628734588623,0.9239522218704224,0.9456729292869568,0.8683861494064331,0.849980890750885,1.9999999494757503e-05
4,0.13097968697547913,0.9504435062408447,0.9725514054298401,0.9139432311058044,0.9033545851707458,0.22145383059978485,0.9225069880485535,0.9355692267417908,0.8611118197441101,0.8535218238830566,1.9999999494757503e-05
5,0.08623622357845306,0.9693523049354553,0.9880530834197998,0.9475221633911133,0.9396661520004272,0.2468814253807068,0.9209919571876526,0.9324068427085876,0.8584578037261963,0.850541353225708,3.999999989900971e-06
6,0.06905417889356613,0.9765324592590332,0.9919666647911072,0.960353672504425,0.953302800655365,0.2745179235935211,0.9195541739463806,0.9266191124916077,0.8552942276000977,0.8486052751541138,3.999999989900971e-06
